player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Sean Nelson,61414,WR,MARYLAND,1,2,0,215,0,-1.0,0,100.0,,0,0,0.0,0,1,0,81.5,93.9,0,6,0.0,0,3,1,100.0,3,131.3,1,50.0,1,6,7,7.0,6.0,2.0,,0,,,0,0,,0,0,0,24.5,54.5,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Carter Ware,61032,TE,TCU,11,2,0,305,0,,0,,,0,0,,0,0,0,,40.9,0,0,20.0,1,5,0,80.0,4,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,66.7,45.8,0,0,0.0,0,4,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0
Ryan Selig,77254,TE,W MICHIGAN,1,2,0,347,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,4.0,0,100.0,,0,0,0.0,0,1,0,73.1,90.3,0,5,0.0,0,2,1,100.0,2,87.5,1,50.0,0,5,1,1.0,5.0,2.5
Deven Boston,83796,HB,UTSA,4,2,0,331,0,-3.0,0,100.0,,0,0,0.0,0,0,0,81.5,76.1,0,1,0.0,0,2,1,50.0,1,79.2,1,50.0,0,1,4,4.0,1.0,1.0,,0,,,0,0,,0,0,0,70.7,60.6,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Jayy McDonald,98686,HB,MIDDLE TN,11,2,0,224,0,-4.0,0,100.0,,0,0,0.0,0,1,0,81.5,93.1,0,12,0.0,0,2,1,100.0,2,116.7,1,50.0,0,12,16,16.0,12.0,6.0,,0,,,0,0,,0,0,0,74.9,53.5,0,0,0.0,0,10,0,100.0,10,0.0,0,0.0,0,0,0,,,0.0
Larry Hodges,98817,FB,MIAMI FL,3,2,0,220,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,,57.6,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Hunter Thedford,50645,TE,UTAH,14,2,0,328,0,,0,,,0,0,,0,0,0,,36.7,0,0,27.3,3,11,0,72.7,8,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,66.7,54.6,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0
Mike Evans,83928,TE,APP STATE,8,2,0,108,0,,0,,,0,0,,0,0,0,,44.7,0,0,42.9,3,7,0,57.1,4,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,66.7,60.3,0,0,14.3,1,7,0,85.7,6,0.0,0,0.0,0,0,0,,,0.0
Christian Hayes,42254,WR,ARMY,7,2,0,114,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,16.4,47.3,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
McCallan Castles,83949,TE,CAL,2,2,0,130,0,,0,,,0,0,,0,0,0,,44.7,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,22.0,0,0.0,,0,0,,0,0,0,16.4,43.1,0,0,0.0,0,25,0,92.0,23,39.6,1,50.0,0,0,0,,,0.0
Roscoe Johnson,42240,WR,N CAROLINA,2,2,0,245,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,70.7,64.4,0,0,0.0,0,5,0,80.0,4,0.0,0,0.0,0,0,0,,,0.0
Demetrius Davis,61745,WR,UAB,1,2,0,321,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,17.0,0,100.0,,0,0,0.0,0,2,0,70.7,68.6,0,23,0.0,0,12,2,100.0,12,118.8,2,100.0,0,35,1,0.5,17.5,2.92
David O'Meara,83967,TE,FIU,12,2,0,166,0,,0,,,0,0,,0,0,0,,40.2,0,0,54.5,6,11,0,36.4,4,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,66.7,57.5,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Reid Rials,33969,WR,TROY,2,2,0,318,0,-2.0,0,100.0,,0,0,0.0,0,0,0,81.5,57.5,0,3,0.0,0,2,1,100.0,2,79.2,1,50.0,0,3,5,5.0,3.0,1.5,1.5,0,50.0,,0,0,0.0,0,0,0,70.7,55.0,0,3,0.0,0,6,1,83.3,5,56.3,2,100.0,0,3,5,5.0,3.0,0.6
John FitzPatrick,83974,TE,GEORGIA,8,2,0,173,0,,0,,,0,0,,0,0,0,,45.2,0,0,25.0,1,4,0,75.0,3,0.0,0,0.0,0,0,0,,,0.0,6.0,0,100.0,,0,0,0.0,0,1,0,73.1,65.2,0,22,0.0,0,10,1,90.0,9,118.8,1,50.0,0,22,16,16.0,22.0,2.44
Donte Banton,100633,WR,UTAH,4,2,0,328,0,-1.0,1,100.0,,0,0,0.0,0,1,0,81.5,73.1,0,10,0.0,0,6,1,100.0,6,108.3,1,50.0,0,10,11,11.0,10.0,1.67,,0,,,0,0,,0,0,0,70.7,66.0,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
