Name,Team,Date,Title,Height,Weight,Arm,Hand,40 Yard,Shuttle,Cone,Vertical,Broad,Bench
Hunter Sharp,FA,2016,Combine,72,199,31.67,9.38,4.58,4.19,7.12,32.5,116.0,12.0
Tajae Sharpe,FA,2016,Combine,74,194,32.25,8.38,4.55,,,33.5,114.0,11.0
Laviska Shenault,CAR,2020,Combine,73,227,31.88,9.00,4.58,,,,0.0,17.0
Sterling Shepard,NYG,2016,Combine,70,196,30.38,9.75,4.48,4.35,7.00,41.0,123.0,20.0
Daikiel Shorts,FA,2017,Pro Day,73,202,,,4.57,,7.13,33.5,104.0,16.0
Cecil Shorts,FA,2011,Combine,72,202,31.68,9.25,4.50,4.07,6.50,34.5,114.0,21.0
David Sills,NYG,2019,Combine,75,211,32.00,9.00,4.57,4.28,6.97,37.5,117.0,14.0
Rashaun Simonise,FA,,Combine,77,215,,,,,,,,
Jerome Simpson,FA,,Combine,74,190,,,4.42,4.52,7.08,37.5,136.0,
Ben Skowronek,LAR,2021,Pro Day,75,224,33.25,10.13,,,,,,13.0
Darius Slayton,NYG,2019,Combine,73,190,32.75,10.00,4.39,4.15,7.00,40.5,135.0,11.0
DeAndre Smelter,FA,2015,Combine,74,227,32.63,11.00,,,,,,
Corey Smith,FA,2017,Pro Day,72,188,,,4.68,,,,,
DeVonta Smith,PHI,2021,Pro Day,72,170,31.13,9.25,,,,,,
Shi Smith,CAR,2021,Pro Day,70,190,31.88,9.50,4.46,4.22,6.79,36.0,123.0,0.0
Kevin Smith,FA,2008,Combine,72,218,,,4.53,4.49,,32.0,120.0,
Steve Smith,FA,2007,Combine,69,195,,,4.44,4.19,6.68,38.0,120.0,
Devin Smith,FA,2015,Combine,73,199,31.00,9.00,4.42,4.15,,39.0,122.0,10.0
Tevaun Smith,FA,2016,Pro Day,74,197,,,4.41,4.27,6.68,38.0,122.0,13.0
Tre'Quan Smith,NO,2018,Combine,74,210,33.38,9.50,4.49,4.50,6.97,37.5,130.0,12.0
Jaylen Smith,FA,2019,Combine,74,219,33.88,9.50,4.47,4.48,7.55,34.5,122.0,14.0
Brandon Smith,FA,2021,Pro Day,74,220,34.25,9.38,4.62,,,39.0,130.0,21.0
Torrey Smith,FA,2011,Combine,72,205,32.50,8.50,4.41,4.13,6.72,41.0,126.0,19.0
Ihmir Smith-Marsette,FA,2021,Pro Day,73,185,30.75,9.75,4.47,4.23,7.06,37.0,124.0,10.0
JuJu Smith-Schuster,KC,2017,Combine,73,215,32.88,10.50,4.54,,,32.5,120.0,15.0
Willie Snead,FA,2014,Combine,71,205,33.00,10.25,4.62,4.39,7.19,33.5,113.0,11.0
Ryan Spadola,FA,2013,Combine,73,204,30.75,9.75,4.48,4.07,6.72,33.5,119.0,15.0
Owen Spencer,FA,2011,Combine,74,195,33.63,9.50,4.51,4.18,6.86,37.5,125.0,6.0
Nelson Spruce,FA,2016,Combine,73,210,30.00,10.00,4.69,4.20,7.09,35.0,114.0,12.0
Equanimeous St. Brown,CHI,2018,Combine,77,214,33.00,9.75,4.48,,,,,20.0
Amon-Ra St. Brown,DET,2021,Pro Day,72,197,30.38,9.13,4.59,4.26,6.90,38.5,127.0,20.0
Jamari Staples,FA,,Combine,75,195,,,,,,,,
Tony Stevens,FA,2017,Pro Day,76,198,,,4.49,,,34.5,108.0,12.0
Marquez Stevenson,BUF,2021,Pro Day,70,180,31.00,8.50,,,,,,
ArDarius Stewart,FA,2017,Pro Day,72,205,32.50,9.38,,,,,,10.0
Josh Stewart,FA,2014,Combine,70,185,30.00,9.38,4.69,4.33,7.10,35.0,117.0,11.0
Darrell Stewart,FA,2020,Combine,72,212,32.00,9.63,,,,35.0,117.0,15.0
Kenny Stills,FA,2013,Pro Day,73,202,,,,4.13,7.13,,,
Mike Strachan,IND,2021,Pro Day,77,224,34.25,10.00,4.50,4.36,6.96,35.0,127.0,20.0
Rod Streater,FA,2012,Pro Day,75,200,,,4.46,4.07,7.06,37.5,133.0,18.0
Devin Street,FA,2014,Combine,75,200,33.38,9.25,4.55,4.01,6.89,37.0,124.0,
Tommy Streeter,FA,,Combine,77,215,34.75,9.50,4.40,,7.08,33.0,125.0,17.0
Damore'ea Stringefellow,FA,2017,Pro Day,74,225,,,4.66,,,,120.0,17.0
Jaelen Strong,FA,2015,Pro Day,74,220,,,,4.21,7.34,,,
Courtland Sutton,DEN,2018,Combine,76,216,32.38,9.75,4.54,4.11,6.57,35.5,124.0,18.0
Freddie Swain,FA,2020,Combine,72,199,30.63,9.00,4.46,4.26,7.05,36.5,124.0,16.0
Ryan Switzer,FA,2017,Combine,69,183,28.00,9.25,4.51,4.00,6.77,32.0,116.0,11.0
Brandon Tate,FA,2009,Combine,73,195,,,4.52,,,,,
Auden Tate,FA,2018,Combine,77,228,33.75,9.38,4.68,,,31.0,112.0,
Golden Tate,FA,2010,Combine,71,191,30.50,9.25,4.42,4.34,7.12,35.0,120.0,17.0
Trent Taylor,CIN,2017,Combine,68,181,28.75,8.25,4.63,4.01,6.74,33.0,117.0,13.0
Taywan Taylor,FA,2017,Combine,71,205,32.63,9.25,4.50,4.21,6.57,33.5,132.0,13.0
Tamorrion Terry,FA,2021,Pro Day,74,207,33.38,9.50,4.44,4.47,7.11,32.5,126.0,15.0
Marcus Thigpen,FA,2009,Pro Day,69,200,,,4.46,4.16,7.20,35.0,126.0,21.0
Johnny T. Thomas,FA,,Combine,70,173,32.50,9.75,4.63,4.25,7.01,35.5,123.0,20.0
Mike Thomas,CIN,2016,Pro Day,73,197,,,4.54,4.26,7.06,36.0,126.0,16.0
Noel Thomas,FA,2017,Pro Day,73,200,30.00,8.75,4.49,,,33.0,118.0,
De'Anthony Thomas,FA,2014,Combine,68,176,29.88,8.13,4.50,,,32.0,124.0,8.0
Jeff Thomas,FA,2020,Combine,69,170,30.38,8.38,4.45,,,36.5,,
Demaryius Thomas,FA,2010,Combine,75,225,33.00,10.50,,,,,,
Mike Thomas,FA,2009,Combine,68,198,31.00,9.38,4.30,4.28,6.65,40.5,126.0,
Kenbrell Thompkins,FA,2013,Combine,72,195,32.50,8.75,4.54,4.21,6.88,33.5,121.0,8.0
Cody Thompson,SEA,2019,Combine,74,205,31.00,9.38,4.57,4.03,6.87,38.5,119.0,19.0
Chris Thompson,FA,2013,Combine,72,175,,,4.42,,,,,21.0
Tyquan Thornton,NE,2022,Combine,74,182,33.25,8.25,4.28,,,36.5,130.0,
Jalen Tolbert,DAL,2022,Combine,73,195,32.25,10.00,4.49,,7.08,36.0,123.0,
Terrence Toliver,FA,2011,Combine,77,204,32.00,10.00,4.52,4.03,6.48,32.0,122.0,
Kadarius Toney,KC,2021,Pro Day,72,193,31.25,9.25,4.37,4.23,6.88,39.5,136.0,9.0
Nick Toon,FA,2012,Combine,76,218,32.50,9.00,4.54,,,37.0,132.0,18.0
Laquon Treadwell,FA,2016,Pro Day,74,215,,,4.64,4.30,7.04,33.5,,
Bryce Treggs,FA,2016,Pro Day,72,185,,,4.39,4.19,7.00,34.0,122.0,16.0
Tre Turner,FA,2022,Combine,73,184,30.75,8.50,4.51,4.53,7.45,27.0,113.0,
Tiquan Underwood,FA,2009,Combine,73,185,32.25,8.50,4.31,4.11,6.62,41.5,129.0,7.0
Marquez Valdes-Scantling,KC,2018,Combine,76,206,32.25,10.25,4.37,,,30.5,124.0,15.0
T.J. Vasher,FA,2021,Pro Day,77,210,35.38,10.25,,,,,,
Tyler Vaughns,FA,2021,Pro Day,74,184,32.88,9.50,4.64,4.40,7.15,31.5,120.0,7.0
Conner Vernon,FA,2013,Combine,72,200,30.50,9.25,4.68,4.22,6.93,32.5,125.0,
Binjimen Victor,FA,2020,Combine,76,199,34.13,9.63,4.60,,7.10,35.0,128.0,9.0
Jaylen Waddle,MIA,2021,Pro Day,70,182,30.38,9.13,,,,,,
Kenny Walker,FA,2017,Pro Day,69,188,,,4.33,,,,,19.0
Tylan Wallace,BAL,2021,Pro Day,71,193,30.38,9.38,4.49,4.25,6.97,33.0,112.0,11.0
Mike Wallace,FA,2009,Combine,72,200,31.38,9.00,4.28,4.27,6.90,40.0,129.0,14.0
Greg Ward,FA,2017,Pro Day,71,190,,,4.58,,6.96,34.5,97.0,
L'Damian Washington,FA,2014,Combine,76,200,33.38,9.00,4.46,4.35,7.19,32.0,115.0,8.0
James Washington,DAL,2018,Combine,71,213,32.38,9.75,4.54,4.32,7.11,34.5,120.0,14.0
Tony Washington,FA,,Combine,71,195,,,4.99,4.31,7.21,32.5,110.0,17.0
Sammy Watkins,GB,2015,Combine,73,211,32.00,9.63,4.43,4.34,6.95,34.0,126.0,16.0
Austin Watkins,FA,2021,Pro Day,75,210,31.00,9.50,,,,,,
Quez Watkins,PHI,2020,Combine,72,193,32.88,9.00,4.35,4.36,7.28,36.5,125.0,
Christian Watson,GB,2022,Combine,77,208,32.50,10.13,4.36,,,38.5,136.0,
Jamarius Way,FA,2019,Combine,75,215,33.00,10.25,4.63,4.66,,32.5,119.0,16.0
Reggie Wayne,FA,,Combine,72,203,,,4.45,,,36.0,,
Jester Weah,FA,2018,Combine,75,209,31.13,9.68,4.43,4.41,7.24,38.0,129.0,15.0
Connor Wedington,FA,2021,Pro Day,72,197,31.88,9.75,4.44,4.07,6.66,38.5,117.0,13.0
Wes Welker,FA,2004,Pro Day,69,185,,,4.65,4.01,7.09,30.0,113.0,
Alex Wesley,FA,2019,Combine,71,190,31.25,9.00,4.45,4.44,7.40,38.5,125.0,13.0
Antoine Wesley,ARI,2019,Combine,76,206,34.00,9.75,,4.26,7.07,37.0,117.0,6.0
Joe West,FA,2008,Combine,73,208,,,4.57,4.33,6.96,32.0,113.0,20.0
Dede Westbrook,FA,2017,Pro Day,72,178,30.63,9.00,4.37,,,34.5,120.0,
Isaiah Weston,CLE,2022,Combine,76,214,32.50,9.50,4.42,,,40.0,135.0,20.0
Ryan Whalen,FA,2011,Combine,73,200,30.00,9.00,4.53,4.09,6.67,38.5,123.0,18.0
Markus Wheaton,FA,2013,Combine,71,185,32.75,9.13,4.45,4.02,6.80,37.0,120.0,20.0
Roddy White,FA,2005,Pro Day,72,211,,,4.46,4.01,7.12,41.0,126.0,18.0
Ka'Raun White,FA,2018,Combine,73,206,32.25,9.68,4.52,4.57,7.16,33.5,118.0,24.0
Cody White,FA,2020,Combine,75,215,32.50,10.00,4.66,4.52,7.19,35.5,120.0,
DeAndrew White,FA,2015,Combine,72,195,31.00,9.13,4.44,4.18,6.97,34.5,118.0,
Kermit Whitfield,FA,2017,Combine,68,192,30.00,8.50,4.44,4.37,7.17,32.5,120.0,8.0
Isaac Whitney,FA,2017,Pro Day,74,204,,,4.75,,,,,
Jake Wieneke,FA,2018,Combine,76,221,33.00,9.88,4.67,4.37,7.24,34.0,114.0,9.0
Mike Williams,FA,2010,Pro Day,74,212,,,4.53,4.19,,39.5,120.0,
Mike Williams,FA,2010,Combine,77,229,,,4.53,4.31,6.90,33.5,116.0,8.0
Dom Williams,FA,2016,Pro Day,74,200,,,4.40,4.28,7.04,40.5,125.0,11.0
Seth Williams,FA,2021,Pro Day,75,211,33.50,9.88,4.49,4.43,7.20,37.0,124.0,12.0
Kyle Williams,FA,2010,Combine,70,186,30.00,9.13,4.40,4.19,7.00,33.0,118.0,11.0
Terrance Williams,FA,2013,Combine,74,210,31.25,8.75,4.52,4.32,7.01,32.5,119.0,11.0
Stephen Williams,FA,2010,Combine,77,208,33.25,9.13,4.50,4.11,6.81,36.5,125.0,15.0
Duke Williams,FA,2016,Combine,75,225,32.50,9.25,4.72,4.47,7.43,30.0,121.0,14.0
Marlon Williams,FA,2021,Pro Day,71,209,31.00,8.88,4.66,4.57,,33.5,119.0,14.0
Devon Williams,FA,2022,Combine,77,211,34.13,9.88,4.65,,,33.0,133.0,
Ed Williams,FA,2009,Combine,72,196,,,4.79,,,,,23.0
Jordan Williams,FA,2016,Pro Day,75,228,,,4.64,4.45,7.03,33.5,116.0,21.0
Damian Williams,FA,2010,Combine,73,200,31.75,9.25,4.52,4.24,6.79,38.0,118.0,19.0
Mike Williams,LAC,2017,Combine,76,218,33.38,9.38,,,,32.5,121.0,15.0
Garrett Wilson,NYJ,2022,Combine,72,192,32.00,9.88,4.38,4.36,,36.0,123.0,0.0
Dontre Wilson,FA,2017,Pro Day,70,187,,,4.59,,,,,
De'Runnya Wilson,FA,2016,Combine,76,224,33.88,9.25,4.85,,,28.0,113.0,
Marquess Wilson,FA,2013,Combine,76,206,31.13,9.25,4.51,4.33,6.65,34.5,122.0,7.0
Cedrick Wilson,MIA,2018,Combine,74,200,31.50,9.75,4.55,4.23,6.89,37.0,121.0,9.0
Bobo Wilson,FA,2017,Combine,69,186,31.38,9.38,4.57,,,,119.0,10.0
Albert Wilson,FA,2014,Combine,69,195,30.38,9.13,4.43,4.21,7.00,37.5,123.0,10.0
Javon Wims,FA,2018,Combine,76,215,31.50,9.25,4.53,,7.00,33.5,113.0,
Michael Woods,CLE,2022,Combine,73,204,33.00,9.63,4.55,,,34.5,125.0,
Robert Woods,TEN,2013,Combine,72,195,31.00,9.25,4.51,4.47,7.15,33.5,117.0,14.0
Cam Worthy,FA,2015,Combine,74,211,33.50,10.13,,,,,,12.0
Jarius Wright,FA,2012,Combine,70,190,31.50,8.50,4.42,4.03,6.93,38.0,120.0,11.0
Kendall Wright,FA,2012,Combine,70,185,30.38,8.63,4.61,4.18,6.93,38.5,121.0,
Devon Wylie,FA,2012,Combine,69,187,30.25,9.50,4.39,,,39.0,123.0,17.0
Titus Young,FA,2011,Combine,71,174,30.88,9.00,4.43,,,,123.0,
