Name,Team,Date,Title,Height,Weight,Arm,Hand,40 Yard,Shuttle,Cone,Vertical,Broad,Bench
Sammie Coates,FA,2015,Combine,73,210,33.38,9.38,4.43,4.06,6.98,41.0,131.0,23.0
Randall Cobb,GB,2011,Combine,70,195,31.00,9.38,4.46,4.34,7.08,33.5,115.0,16.0
Simmie Cobbs,FA,2018,Combine,75,220,32.00,9.25,4.64,4.32,6.70,30.0,113.0,11.0
Corey Coleman,FA,2016,Combine,71,193,30.25,9.00,,,,40.5,129.0,17.0
Brandon Coleman,FA,2014,Combine,78,225,34.00,9.25,4.56,4.51,7.33,32.5,,21.0
Stacy Coley,FA,2017,Combine,72,195,32.25,9.75,4.45,,,34.0,122.0,10.0
Austin Collie,FA,2009,Combine,72,200,31.00,9.00,4.56,4.24,6.78,34.0,120.0,17.0
Nico Collins,HOU,2021,Pro Day,76,215,34.13,9.38,4.45,4.32,6.79,37.5,125.0,14.0
Marques Colston,FA,2006,Combine,76,225,33.38,9.63,4.50,4.44,6.96,37.0,123.0,
Kain Colter,FA,2014,Pro Day,72,195,,,4.71,4.20,6.68,,,11.0
Chris Conley,FA,2015,Combine,75,205,33.75,9.88,4.35,4.30,7.06,45.0,139.0,18.0
Brandin Cooks,HOU,2014,Combine,70,183,30.75,9.63,4.33,3.81,6.76,36.0,120.0,16.0
Josh Cooper,FA,2012,Pro Day,70,190,,,4.65,4.35,7.12,31.5,115.0,
Pharoh Cooper,FA,2016,Combine,71,210,32.25,9.13,4.52,,,31.0,115.0,15.0
Riley Cooper,FA,2010,Combine,76,230,32.68,10.38,4.56,,,33.0,114.0,
Amari Cooper,CLE,2015,Combine,73,210,31.50,10.00,4.42,3.98,6.71,33.0,120.0,
Damian Copeland,FA,2014,Combine,73,182,31.38,9.00,4.50,3.90,6.53,40.0,120.0,12.0
Cody Core,FA,2016,Combine,75,205,32.00,10.38,4.47,,,31.5,119.0,14.0
Jerricho Cotchery,FA,,Combine,73,205,,,4.54,3.92,6.95,36.0,121.0,
Isaiah Coulter,FA,2020,Combine,74,198,31.75,9.00,4.45,4.62,7.28,36.0,121.0,
Keke Coutee,IND,2018,Combine,71,180,29.88,8.38,4.43,4.15,6.93,34.5,113.0,14.0
Damonte Coxie,FA,2021,Pro Day,74,198,33.25,8.75,4.76,4.45,6.92,30.5,122.0,4.0
Michael Crabtree,FA,2009,Combine,73,215,,,4.54,,,,,
Juron Criner,FA,2012,Combine,75,220,32.00,10.50,4.68,4.30,7.15,38.0,117.0,17.0
Jamison Crowder,BUF,2015,Combine,69,177,30.38,8.75,4.56,4.32,7.17,37.0,115.0,10.0
