"","player","player_id","position","team_name","player_game_count","avg_depth_of_target","avoided_tackles","caught_percent","contested_catch_rate","contested_receptions","contested_targets","declined_penalties","drop_rate","drops","first_downs","franchise_id","fumbles","grades_hands_drop","grades_hands_fumble","grades_offense","grades_pass_block","grades_pass_route","inline_rate","inline_snaps","interceptions","longest","pass_block_rate","pass_blocks","pass_plays","penalties","receptions","route_rate","routes","slot_rate","slot_snaps","targeted_qb_rating","targets","touchdowns","wide_rate","wide_snaps","yards","yards_after_catch","yards_after_catch_per_reception","yards_per_reception","yprr","Year","Height..in.","Weight..lbs.","X40.Yard","Bench.Press","Vert.Leap..in.","Broad.Jump..in.","Shuttle","X3Cone"
"1","Amari Cooper",9437,"WR","ALABAMA",14,9.9,26,71.3,NA,0,0,0,6.1,8,0,103,0,79.4,78.8,92.8,NA,93.3,0,0,2,80,0,0,446,2,124,97.1,433,19.5,87,128.7,174,16,79.6,355,1727,878,7.1,13.9,3.99,2015,72.88,211,4.42,NA,33,120,3.98,6.71
"2","Justin Hardy",9540,"WR","E CAROLINA",13,9.5,20,72.5,NA,0,0,0,4,5,0,156,1,85,78.2,89.5,68.5,89.2,0,0,5,66,0.2,1,659,2,121,94.8,625,64.2,423,107.2,167,10,35.1,231,1494,612,5.1,12.3,2.39,2015,70.25,192,4.56,11,36.5,114,4.21,6.63
"3","Vince Mayle",9556,"WR","WASH STATE",12,9.8,25,65,NA,0,0,0,15.2,19,0,341,1,43.9,60.8,76.7,NA,75.3,0,0,3,90,0,0,579,3,106,95.2,551,0.7,4,104.9,163,9,99.3,575,1483,827,7.8,14,2.69,2015,74,224,4.67,NA,35.5,117,4.13,6.93
"4","Kevin White",9440,"WR","W VIRGINIA",13,11.1,24,68.1,NA,0,0,0,7.6,9,0,343,1,72.6,61.2,78.5,NA,78.2,0.5,3,5,68,0,0,590,5,109,94.6,558,7.6,45,104.3,160,10,90.7,535,1447,679,6.2,13.3,2.59,2015,74.63,215,4.35,23,36.5,123,4.14,6.92
"5","Jaelen Strong",9503,"WR","ARIZONA ST",12,13.9,7,53.3,NA,0,0,1,8,7,1,110,0,70.3,76.2,86.6,NA,87.5,0,0,3,77,0,0,455,2,81,94.7,431,25.3,115,92.2,152,10,74.7,340,1168,421,5.2,14.4,2.71,2015,74.38,217,4.44,NA,42,123,4.21,7.34
"6","Jamison Crowder",9538,"WR","DUKE",13,11,11,56.4,NA,0,0,0,10.6,10,1,154,1,60.8,58.1,73,NA,73.1,0,0,4,52,0,0,474,2,84,97,460,17.3,82,81.1,149,6,81.9,388,1064,550,6.5,12.7,2.31,2015,68.38,185,4.56,10,37,115,4.32,7.17
"7","Josh Harper",9979,"WR","FRESNO ST",14,13,13,59.7,NA,0,0,0,8.2,8,0,169,0,73.6,76.9,72.6,NA,72.5,0,0,8,58,0,0,578,1,89,95.8,554,12.5,72,75.8,149,7,87.5,506,1095,396,4.4,12.3,1.98,2015,72.88,191,4.64,13,32,108,4.36,7.15
"8","Tyler Lockett",9502,"WR","KANSAS ST",13,11.9,9,72.1,NA,0,0,0,6.2,7,0,199,0,79.1,78,92.7,NA,92.8,0,0,3,70,0,0,445,3,106,93.3,415,15.3,68,121.6,147,11,84.3,375,1515,455,4.3,14.3,3.65,2015,69.88,182,4.4,NA,35.5,121,4.07,6.89
"9","Tommy Shuler",14643,"WR","MARSHALL",14,10.9,8,67.2,NA,0,0,0,4.2,4,1,214,1,84.5,58.5,78.9,NA,80.9,0,0,6,42,0,0,515,2,92,94.2,485,99.6,513,96.3,137,9,0.4,2,1138,313,3.4,12.4,2.35,2015,67,188,4.68,NA,NA,NA,NA,NA
"10","Nelson Agholor",9453,"WR","USC",13,8.9,17,76.3,NA,0,0,0,6.4,7,0,326,0,77.6,77.7,89.2,NA,91.2,2.4,11,2,87,0,0,467,2,103,95.7,447,52.2,244,129.4,135,12,41.5,194,1306,573,5.6,12.7,2.92,2015,72.13,198,4.42,12,36.5,125,4.34,6.83
"11","Deontay Greenberry",9844,"WR","HOUSTON",13,11.5,8,53.3,NA,0,0,0,11.1,9,0,182,0,58.4,75.4,67.4,NA,67.4,0,0,6,67,0,0,536,2,72,96.1,515,89.2,478,68.8,135,6,10.8,58,840,355,4.9,11.7,1.63,2015,73,198,4.64,21,35.5,116,4.31,7.23
"12","Da'Ron Brown",9666,"WR","N ILLINOIS",14,14.4,14,54,NA,0,0,0,10.5,8,0,254,0,48.8,77.2,73.9,NA,74.6,0,0,2,64,0,0,429,4,68,95.8,411,20.7,89,91.5,126,6,79.3,340,1065,442,6.5,15.7,2.59,2015,72.13,205,4.54,17,37,120,4.11,7.04
"13","Bud Sasser",9634,"WR","MISSOURI",14,12.2,3,65.8,NA,0,0,0,2.5,2,0,229,1,89.8,55.8,80.3,NA,81.4,0,0,1,47,0,0,491,3,77,94.5,464,12.4,61,123.1,117,12,87.6,430,997,292,3.8,12.9,2.15,2015,74.63,210,4.62,18,34.5,120,4.38,6.88
"14","Mario Alford",9671,"WR","W VIRGINIA",13,11.2,6,58,NA,0,0,0,15.6,12,0,343,1,37.9,52.2,61.7,NA,61.8,0.3,2,0,79,0,0,578,3,65,94.6,547,4.3,25,118.3,112,11,94.3,545,945,476,7.3,14.5,1.73,2015,68.5,180,4.43,13,34,121,4.07,6.64
"15","Tony Lippett",9589,"WR","MICH STATE",13,13.3,7,61.9,NA,0,0,0,3,2,1,223,0,87,75.6,90.2,NA,90.4,0,0,2,71,0,0,341,3,65,96.2,328,14.4,49,128.2,105,11,85.6,292,1198,383,5.9,18.4,3.65,2015,74.5,192,4.61,10,36,114,4.13,6.92
